iso3,year,month,country_role,funding_usd,flow_count,has_cerf,has_echo,sector_mix
JAM,2020,5,tier1,411066,2,0,0,COVID-19 | Unearmarked
JAM,2020,8,tier1,514286,1,0,0,Health
JAM,2020,10,tier1,126000,1,0,0,Unearmarked
JAM,2020,11,tier1,16023,1,0,0,Unearmarked
JAM,2021,3,tier1,1000000,1,0,0,Health
JAM,2022,2,tier1,10000000,1,0,0,Health
JAM,2024,6,tier1,5113550,2,0,0,Coordination and support services | Other
JAM,2024,7,tier1,2498399,6,1,0,Emergency Shelter and NFI | Food Security | Nutrition | Protection | Protection - Child Protection | Water Sanitation Hygiene
NIC,2019,1,tier1,647595,1,0,0,Food Security
NIC,2019,4,tier1,400000,1,0,0,Agriculture
NIC,2019,6,tier1,1175869,1,0,0,Coordination and support services
NIC,2019,11,tier1,462050,1,0,0,Coordination and support services
NIC,2020,1,tier1,761686,1,0,0,Food Security
NIC,2020,5,tier1,267500,1,0,0,COVID-19
NIC,2020,6,tier1,3075370,4,1,0,COVID-19 | Coordination and support services | Early Recovery
NIC,2020,10,tier1,1055467,3,0,1,Health | Unearmarked
NIC,2020,11,tier1,391384,2,0,0,Multi-sector | Unearmarked
NIC,2020,12,tier1,1100000,3,1,0,Health | Protection - Child Protection | Water Sanitation Hygiene
NIC,2021,1,tier1,5344358,4,1,0,Early Recovery | Education | Food Security | Multi-sector
NIC,2021,4,tier1,116062,1,0,0,COVID-19
NIC,2021,6,tier1,761951,5,0,0,Coordination and support services | Education | Health | Nutrition | Protection - Child Protection
NIC,2022,2,tier1,11997902,3,0,0,Health | Other | Protection
NIC,2022,3,tier1,391543,1,0,0,Multi-sector
NIC,2022,4,tier1,3907630,2,0,0,Agriculture | Food Security
NIC,2022,6,tier1,5782184,13,0,1,Coordination and support services | Food Security | Multi-sector | Other | Protection
NIC,2022,12,tier1,984912,4,0,0,Education | Health | Nutrition | Protection - Child Protection
NIC,2023,5,tier1,678997,2,0,1,Protection | Unearmarked
NIC,2023,6,tier1,3123352,15,0,0,Coordination and support services | Education | Food Security | Other | Protection | Protection - Child Protection
NIC,2023,11,tier1,548031,2,0,0,Protection
NIC,2024,3,tier1,1663364,2,0,0,Agriculture | Unearmarked
NIC,2024,4,tier1,1459227,1,0,1,Protection - Child Protection
NIC,2024,5,tier1,1530000,3,0,0,Food Security | Protection | Protection - Child Protection
NIC,2024,6,tier1,462205,5,0,0,Coordination and support services | Other | Protection
NIC,2024,8,tier1,100000,1,0,0,Protection - Child Protection
NIC,2024,10,tier1,1129908,1,0,0,Unearmarked
PAN,2019,2,tier1,1746083,3,0,0,Multi-sector | Protection - Child Protection
PAN,2019,3,tier1,7419347,6,0,0,Multi-sector | Unearmarked
PAN,2019,4,tier1,2158603,5,0,0,Multi-sector | Unearmarked
PAN,2019,5,tier1,3126631,2,0,0,Multi-sector | Unearmarked
PAN,2019,6,tier1,5428838,6,0,1,Health | Multi-sector | Unearmarked
PAN,2019,7,tier1,1431374,3,0,0,Multi-sector | Unearmarked
PAN,2019,9,tier1,1556560,3,0,0,Coordination and support services | Multi-sector | Unearmarked
PAN,2019,10,tier1,2824915,3,0,1,Multi-sector
PAN,2020,1,tier1,666473,1,0,0,Protection
PAN,2020,2,tier1,2237787,9,0,0,Multi-sector
PAN,2020,3,tier1,1500458,5,0,0,Coordination and support services | Multi-sector | Unearmarked
PAN,2020,4,tier1,8747618,8,0,0,Coordination and support services | Health | Multi-sector | Unearmarked
PAN,2020,5,tier1,2960980,6,0,0,Multi-sector | Protection | Protection - Child Protection | Unearmarked
PAN,2020,6,tier1,14230876,18,0,0,COVID-19 | Coordination and support services | Emergency Shelter and NFI | Food Security | Health | Multi-sector | Protection | Protection - Gender-Based Violence | Unearmarked
PAN,2020,7,tier1,8628863,6,0,1,Multi-sector | Protection | Unearmarked
PAN,2020,9,tier1,129063,2,0,0,Early Recovery | Multi-sector
PAN,2020,10,tier1,940370,3,0,0,Unearmarked | Water Sanitation Hygiene
PAN,2020,11,tier1,3670994,7,0,0,Multi-sector | Protection - Child Protection | Unearmarked
PAN,2020,12,tier1,602758,3,0,0,Health | Multi-sector
PAN,2021,1,tier1,375618,8,0,0,Coordination and support services | Early Recovery | Unearmarked
PAN,2021,2,tier1,7728133,6,0,0,Unearmarked
PAN,2021,3,tier1,1943163,14,0,0,Coordination and support services | Health | Multi-sector | Nutrition | Protection - Child Protection | Unearmarked | Water Sanitation Hygiene
PAN,2021,4,tier1,588658,7,0,0,Unearmarked
PAN,2021,6,tier1,7259987,20,0,1,Coordination and support services | Early Recovery | Emergency Shelter and NFI | Food Security | Health | Multi-sector | Protection | Protection - Child Protection | Protection - Human Trafficking & Smuggling | Unearmarked
PAN,2021,7,tier1,3582772,8,0,0,Coordination and support services | Unearmarked
PAN,2021,8,tier1,904923,3,0,0,Coordination and support services | Multi-sector | Unearmarked
PAN,2021,12,tier1,932505,3,0,1,Other | Protection | Unearmarked
PAN,2022,1,tier1,4771383,10,0,0,Coordination and support services | Early Recovery | Education | Emergency Shelter and NFI | Health | Protection - Gender-Based Violence | Protection - Human Trafficking & Smuggling | Unearmarked | Water Sanitation Hygiene
PAN,2022,2,tier1,12821922,7,0,0,Coordination and support services | Health | Other | Protection | Unearmarked
PAN,2022,3,tier1,4950418,7,0,0,Coordination and support services | Multipurpose Cash | Protection | Unearmarked
PAN,2022,4,tier1,5984493,9,0,0,Coordination and support services | Early Recovery | Multi-sector | Multipurpose Cash | Protection | Unearmarked
PAN,2022,5,tier1,4418859,4,0,0,Coordination and support services | Multi-sector | Unearmarked
PAN,2022,6,tier1,16370162,16,0,1,Coordination and support services | Early Recovery | Emergency Shelter and NFI | Multi-sector | Other | Protection | Unearmarked
PAN,2022,7,tier1,7390935,5,0,0,Early Recovery | Logistics | Protection | Protection - Gender-Based Violence | Unearmarked
PAN,2022,8,tier1,159302,2,0,0,Coordination and support services | Unearmarked
PAN,2022,9,tier1,1000000,5,0,0,Early Recovery | Emergency Shelter and NFI | Health | Protection | Water Sanitation Hygiene
PAN,2022,11,tier1,4989291,3,0,0,Early Recovery | Emergency Shelter and NFI | Protection - Gender-Based Violence
PAN,2022,12,tier1,323385,4,0,0,Coordination and support services | Multipurpose Cash | Protection
PAN,2023,2,tier1,2005107,4,0,0,Coordination and support services | Early Recovery | Protection - Gender-Based Violence
PAN,2023,3,tier1,1059168,3,0,0,Multi-sector | Protection | Protection - Human Trafficking & Smuggling
PAN,2023,4,tier1,244489,3,0,0,Health | Protection - Child Protection | Protection - Human Trafficking & Smuggling
PAN,2023,5,tier1,7870882,5,0,1,Coordination and support services | Multi-sector | Multipurpose Cash | Protection
PAN,2023,6,tier1,8600973,16,0,1,Coordination and support services | Early Recovery | Emergency Shelter and NFI | Food Security | Health | Other | Protection | Protection - Human Trafficking & Smuggling
PAN,2023,7,tier1,10933038,18,1,0,Coordination and support services | Emergency Shelter and NFI | Food Security | Health | Protection | Protection - Child Protection | Protection - Gender-Based Violence | Protection - Human Trafficking & Smuggling | Water Sanitation Hygiene
PAN,2023,8,tier1,165198,1,0,0,Other
PAN,2023,9,tier1,7024399,3,0,0,Emergency Shelter and NFI | Multi-sector | Protection
PAN,2023,11,tier1,1153452,4,0,0,Early Recovery | Protection
PAN,2023,12,tier1,932913,1,0,0,Multi-sector
PAN,2024,2,tier1,957396,1,0,0,Unearmarked
PAN,2024,3,tier1,2271688,4,0,0,Agriculture | Protection - Gender-Based Violence | Unearmarked
PAN,2024,4,tier1,1702827,2,0,1,Protection - Child Protection | Water Sanitation Hygiene
PAN,2024,6,tier1,3513618,13,0,1,Coordination and support services | Early Recovery | Education | Health | Multi-sector | Protection | Protection - Child Protection | Unearmarked
PAN,2024,8,tier1,2462272,3,0,0,Unearmarked
PAN,2024,10,tier1,1129908,1,0,0,Unearmarked
PAN,2024,11,tier1,11594448,8,0,1,Coordination and support services | Health | Logistics | Multi-sector | Protection | Protection - Gender-Based Violence | Unearmarked
PRI,2019,3,tier1,19800,1,0,0,Education
SLV,2019,7,tier1,2262859,6,1,0,Food Security | Health | Nutrition | Water Sanitation Hygiene
SLV,2019,11,tier1,477282,2,0,0,Coordination and support services | Early Recovery
SLV,2020,1,tier1,297702,1,0,0,Health
SLV,2020,4,tier1,210962,1,0,0,Multi-sector
SLV,2020,5,tier1,324000,1,0,0,COVID-19
SLV,2020,6,tier1,2173533,4,0,0,Emergency Shelter and NFI | Food Security | Health
SLV,2020,7,tier1,3199884,4,1,0,COVID-19 | Food Security | Water Sanitation Hygiene
SLV,2020,9,tier1,45477,1,0,0,Unearmarked
SLV,2020,10,tier1,549295,2,0,0,Health | Unearmarked
