DisNo.,ISO,Country,Disaster Type,Disaster Subtype,Associated Types,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",AID Contribution ('000 US$),Event Name,Location,ISO3,country_role,disaster_category,event_year,event_month,year_month,log_affected,log_deaths,norm_affected,norm_deaths,severity_score,severity_data_flag
2021-0214-COL,COL,Colombia,Flood,Flood (General),"Slide (land, mud, snow, rock)",2021,4,14.0,2021,4,14.0,,,1000.0,,1000.0,,,,,El Tablon de Medina (Cundinamarca department); Villavicencio City (Meta Department),COL,pressure_input,flood,2021,4,2021-04,6.90875477931522,0.0,0.4505432588245432,0.0,0.2253,ok
2021-0219-COL,COL,Colombia,Flood,Flash flood,,2021,4,11.0,2021,4,16.0,,,3274.0,,3274.0,,,,,"El Carmen de Bolivar Municipality (Bolivar department); Valle Del Guamuez, Santiago, Orito municipalities (Putamayo Department)",COL,pressure_input,flood,2021,4,2021-04,8.094073148069352,0.0,0.527841877412365,0.0,0.2639,ok
2021-0229-COL,COL,Colombia,Flood,Riverine flood,,2021,4,27.0,2021,4,29.0,,,4800.0,,4800.0,,,,,Barbacoas Municipality (Nariño Department),COL,pressure_input,flood,2021,4,2021-04,8.476579508530941,0.0,0.5527864104965978,0.0,0.2764,ok
2021-0230-GTM,GTM,Guatemala,Flood,Flood (General),"Slide (land, mud, snow, rock)",2021,4,18.0,2021,4,26.0,,,2245.0,,2245.0,,,,,Uspantán and Chicamán Municipalities (Quiché Department); Sacatepéquez Department,GTM,tier1,flood,2021,4,2021-04,7.716906135298388,0.0,0.5032455412442732,0.0,0.2516,ok
2021-0340-COL,COL,Colombia,Flood,Flood (General),"Slide (land, mud, snow, rock)",2021,6,4.0,2021,6,4.0,5.0,,150.0,,150.0,,,,,"San Luis, El Retiro, San Francisco, Campamento, Cocorná, Cisneros, Santo Domingo and Liborina Municipalities (Antioquia Department)",COL,pressure_input,flood,2021,6,2021-06,5.017279836814924,1.791759469228055,0.32719378242823144,0.2281335684064497,0.2777,ok
2021-0510-DOM,DOM,Dominican Republic,Storm,Tropical cyclone,,2021,8,12.0,2021,8,13.0,,,4025.0,,4025.0,,,,Tropical cyclone 'Fred',,DOM,tier1,storm,2021,8,2021-08,8.300528606199737,0.0,0.5413055358977799,0.0,0.2707,ok
2021-0510-HTI,HTI,Haiti,Storm,Tropical cyclone,,2021,8,12.0,2021,8,13.0,,,,,,,,,Tropical cyclone 'Fred',,HTI,tier1,storm,2021,8,2021-08,0.0,0.0,0.0,0.0,0.0,no_impact_data
2021-0590-SLV,SLV,El Salvador,Flood,Flood (General),"Slide (land, mud, snow, rock)",2021,9,10.0,2021,9,14.0,5.0,,300.0,,300.0,,,,,"Sonsonate, Tecoluca, Jiquilisco, Puerto El Triunfo, Chalatenango, Ahuachapan",SLV,tier1,flood,2021,9,2021-09,5.707110264748875,1.791759469228055,0.37217995706685386,0.2281335684064497,0.3002,ok
2021-0778-COL,COL,Colombia,Flood,Flash flood,,2021,11,30.0,2021,12,6.0,,1.0,300.0,,301.0,,,,,El Santuario Municipality; Medellin city area (Antioquia Department),COL,pressure_input,flood,2021,11,2021-11,5.71042701737487,0.0,0.3723962537200951,0.0,0.1862,ok
2022-0091-DOM,DOM,Dominican Republic,Flood,Flood (General),,2022,2,10.0,2022,2,11.0,,,257.0,,257.0,,,,,,DOM,tier1,flood,2022,2,2022-02,5.552959584921617,0.0,0.36212727002586503,0.0,0.1811,ok
2022-0647-NIC,NIC,Nicaragua,Storm,Tropical cyclone,Flood,2022,10,9.0,2022,10,9.0,1.0,,45000.0,2100.0,47100.0,180000.0,192937.0,,Hurricane 'Julia',,NIC,tier1,storm,2022,10,2022-10,10.76004951120163,0.6931471805599453,0.7016992101680479,0.08825411136246838,0.395,ok
2023-0200-COL,COL,Colombia,Flood,Flood (General),"Slide (land, mud, snow, rock)",2023,3,28.0,2023,3,31.0,1.0,,4500.0,,4500.0,,,,,"Suarez, Caloto, La Vega, Jambaló and Santander de Quilichao muncipalities (Cauca)",COL,pressure_input,flood,2023,3,2023-03,8.412054873292933,0.6931471805599453,0.5485785408640503,0.08825411136246838,0.3184,ok
2023-0360-BRB,BRB,Barbados,Storm,Tropical cyclone,,2023,6,22.0,2023,6,23.0,,,179.0,,179.0,,,,Tropical storm 'Bret',,BRB,tier1,storm,2023,6,2023-06,5.19295685089021,0.0,0.3386502745097017,0.0,0.1693,ok
2023-0559-DOM,DOM,Dominican Republic,Storm,Tropical cyclone,Flood,2023,8,20.0,2023,8,23.0,3.0,,289083.0,,289083.0,,,,Tropical storm 'Franklin',"Barahona,Azua, Bahoruco, Elias Pina, Independencia",DOM,tier1,storm,2023,8,2023-08,12.574472582301325,1.3862943611198906,0.8200238735049508,0.17650822272493677,0.4983,ok
2023-0565-CUB,CUB,Cuba,Storm,Tropical cyclone,Flood,2023,8,28.0,2023,8,29.0,,,,,,,,,Hurricane 'Idalia',"Pinar del Rio, Artemisa, and Havana provinces",CUB,tier1,storm,2023,8,2023-08,0.0,0.0,0.0,0.0,0.0,no_impact_data
2023-0703-HND,HND,Honduras,Storm,Tropical cyclone,,2023,10,29.0,2023,11,1.0,1.0,,,,,,,,Tropical storm 'Pilar',,HND,tier1,storm,2023,10,2023-10,0.0,0.6931471805599453,0.0,0.08825411136246838,0.0441,ok
2023-0703-SLV,SLV,El Salvador,Storm,Tropical cyclone,Flood,2023,10,30.0,2023,11,2.0,3.0,,500.0,,500.0,,,,Tropical storm 'Pilar',,SLV,tier1,storm,2023,10,2023-10,6.2166061010848646,1.3862943611198906,0.405405903245697,0.17650822272493677,0.291,ok
2023-0732-HND,HND,Honduras,Storm,Severe weather,Flood,2023,11,3.0,2023,11,10.0,4.0,,46658.0,,46658.0,,,,,"Atlántida, Colón, Cortés, Gracias a Dios, Islas de la Bahía, Santa Bárbara, Yoro, Olancho and Alianza Municipality in Valle Department",HND,tier1,storm,2023,11,2023-11,10.75062111371267,1.6094379124341003,0.7010843524887903,0.20491970066183332,0.453,ok
2023-0763-DOM,DOM,Dominican Republic,Flood,Flood (General),Collapse,2023,11,17.0,2023,11,18.0,34.0,,22236.0,,22236.0,17500.0,18016.0,,,"Azua, Barahona, Distrito Nacional, Duarte, Monte Plata, San Cristobal, San Pedro de Macoris, Santo Domingo, San José de Ocoa, Bahoruco, San Juan de la Maguana, Sánchez Ramírez, Peravia",DOM,tier1,flood,2023,11,2023-11,10.009512847179431,3.5553480614894135,0.6527541766160857,0.45268031458707886,0.5527,ok
2023-0763-HTI,HTI,Haiti,Flood,Flood (General),,2023,11,17.0,2023,11,18.0,2.0,,,,,,,,,Grand'Anse Department,HTI,tier1,flood,2023,11,2023-11,0.0,1.0986122886681098,0.0,0.1398794570439813,0.0699,ok
2024-0156-CUB,CUB,Cuba,Storm,Severe weather,"Flood|Hail|Slide (land, mud, snow, rock)",2024,3,22.0,2024,3,25.0,,,270000.0,,270000.0,,,,,"Artemisa, Ciudad de la Habana, Matanzas, Mayabeque",CUB,tier1,storm,2024,3,2024-03,12.506180941677357,0.0,0.8155703447143042,0.0,0.4078,ok
2024-0350-COL,COL,Colombia,Storm,Severe weather,Flood,2024,5,16.0,2024,5,18.0,,,7806.0,,7806.0,,,,,"San Jacinto del Cauca municipalit (Bolívar department); Guaranda, Sucre and Majagual municipalities (Sucre department)",COL,pressure_input,storm,2024,5,2024-05,8.962776046120291,0.0,0.584492930625313,0.0,0.2922,ok
