iso3,year,month,venezuelan_displaced,displacement_source
TTO,2021,2021-03-01,2564,r4v
TTO,2021,2021-04-01,2564,r4v
TTO,2021,2021-05-01,2564,r4v
TTO,2021,2021-06-01,2564,r4v
TTO,2021,2021-07-01,2564,r4v
TTO,2021,2021-08-01,2564,r4v
TTO,2021,2021-09-01,2564,r4v
TTO,2021,2021-10-01,2564,r4v
TTO,2021,2021-11-01,2564,r4v
TTO,2021,2021-12-01,2564,r4v
TTO,2022,2022-01-01,2843,r4v
TTO,2022,2022-02-01,2843,r4v
TTO,2022,2022-03-01,2843,r4v
TTO,2022,2022-04-01,2843,r4v
TTO,2022,2022-05-01,2843,r4v
TTO,2022,2022-06-01,2843,r4v
TTO,2022,2022-07-01,2843,r4v
TTO,2022,2022-08-01,2843,r4v
TTO,2022,2022-09-01,2843,r4v
TTO,2022,2022-10-01,2843,r4v
TTO,2022,2022-11-01,2843,r4v
TTO,2022,2022-12-01,2843,r4v
TTO,2023,2023-01-01,3644,r4v
TTO,2023,2023-02-01,3644,r4v
TTO,2023,2023-03-01,3644,r4v
TTO,2023,2023-04-01,3644,r4v
TTO,2023,2023-05-01,3644,r4v
TTO,2023,2023-06-01,3644,r4v
TTO,2023,2023-07-01,3644,r4v
TTO,2023,2023-08-01,3644,r4v
TTO,2023,2023-09-01,3644,r4v
TTO,2023,2023-10-01,3644,r4v
TTO,2023,2023-11-01,3644,r4v
TTO,2023,2023-12-01,3644,r4v
TTO,2024,2024-01-01,3730,r4v
TTO,2024,2024-02-01,3730,r4v
TTO,2024,2024-03-01,3730,r4v
TTO,2024,2024-04-01,3730,r4v
TTO,2024,2024-05-01,3730,r4v
TTO,2024,2024-06-01,3730,r4v
TTO,2024,2024-07-01,3730,r4v
TTO,2024,2024-08-01,3730,r4v
TTO,2024,2024-09-01,3730,r4v
TTO,2024,2024-10-01,3730,r4v
TTO,2024,2024-11-01,3730,r4v
TTO,2024,2024-12-01,3730,r4v
