ISO3,Country,country_role,year_month,year,month,storm_count,max_wind_knots,max_sshs,landfall_count,max_wind_score,storm_names,had_major_hurricane
CUB,Cuba,tier1,2021-08,2021,8,3,70.0,1,2,0.4375,FRED|GRACE|IDA,0
CUB,Cuba,tier1,2022-09,2022,9,1,110.0,3,1,0.6875,IAN,1
CUB,Cuba,tier1,2023-06,2023,6,1,25.0,-3,0,0.1562,ARLENE,0
CUB,Cuba,tier1,2023-08,2023,8,1,68.0,1,0,0.425,IDALIA,0
CUB,Cuba,tier1,2024-08,2024,8,1,35.0,0,1,0.2188,DEBBY,0
CUB,Cuba,tier1,2024-10,2024,10,1,75.0,1,1,0.4688,OSCAR,0
CUB,Cuba,tier1,2024-11,2024,11,1,100.0,3,1,0.625,RAFAEL,1
DOM,Dominican Republic,tier1,2020-07,2020,7,1,65.0,1,1,0.4062,ISAIAS,0
DOM,Dominican Republic,tier1,2020-08,2020,8,1,45.0,0,1,0.2812,LAURA,0
DOM,Dominican Republic,tier1,2021-08,2021,8,2,40.0,0,2,0.25,FRED|GRACE,0
DOM,Dominican Republic,tier1,2022-09,2022,9,1,90.0,2,1,0.5625,FIONA,0
DOM,Dominican Republic,tier1,2023-08,2023,8,1,40.0,0,1,0.25,FRANKLIN,0
GTM,Guatemala,tier1,2020-06,2020,6,1,33.0,-1,1,0.2062,CRISTOBAL,0
GTM,Guatemala,tier1,2020-09,2020,9,1,65.0,1,1,0.4062,NANA,0
GTM,Guatemala,tier1,2020-11,2020,11,1,30.0,-1,1,0.1875,IOTA,0
GTM,Guatemala,tier1,2022-10,2022,10,1,30.0,-1,0,0.1875,JULIA,0
GTM,Guatemala,tier1,2022-11,2022,11,1,80.0,1,1,0.5,LISA,0
GTM,Guatemala,tier1,2024-10,2024,10,1,50.0,0,1,0.3125,NADINE,0
GTM,Guatemala,tier1,2024-11,2024,11,1,35.0,0,1,0.2188,SARA,0
HND,Honduras,tier1,2020-08,2020,8,1,30.0,-1,0,0.1875,MARCO,0
HND,Honduras,tier1,2020-11,2020,11,2,126.0,4,2,0.7875,ETA|IOTA,1
HND,Honduras,tier1,2022-10,2022,10,1,35.0,0,1,0.2188,JULIA,0
HND,Honduras,tier1,2023-10,2023,10,1,25.0,-1,1,0.1562,UNNAMED,0
HND,Honduras,tier1,2024-11,2024,11,1,45.0,0,1,0.2812,SARA,0
HTI,Haiti,tier1,2020-08,2020,8,1,55.0,0,1,0.3438,LAURA,0
HTI,Haiti,tier1,2021-08,2021,8,2,38.0,0,1,0.2375,FRED|GRACE,0
JAM,Jamaica,tier1,2021-07,2021,7,1,50.0,0,0,0.3125,ELSA,0
JAM,Jamaica,tier1,2021-08,2021,8,1,50.0,0,1,0.3125,GRACE,0
JAM,Jamaica,tier1,2023-11,2023,11,1,30.0,-3,0,0.1875,UNNAMED,0
JAM,Jamaica,tier1,2024-07,2024,7,1,115.0,4,0,0.7188,BERYL,1
NIC,Nicaragua,tier1,2020-11,2020,11,2,130.0,4,2,0.8125,ETA|IOTA,1
NIC,Nicaragua,tier1,2022-07,2022,7,1,50.0,0,1,0.3125,BONNIE,0
NIC,Nicaragua,tier1,2022-10,2022,10,1,75.0,1,1,0.4688,JULIA,0
NIC,Nicaragua,tier1,2023-10,2023,10,1,25.0,-1,1,0.1562,UNNAMED,0
PRI,Puerto Rico,tier1,2019-09,2019,9,1,40.0,0,0,0.25,KAREN,0
