iso3,year,inform_risk_score,hazard_exposure,vulnerability,lack_coping_capacity,natural_hazard,socioeconomic_vulnerability,infrastructure_coping,inform_data_flag
JAM,2022,3.0,3.1,2.4,3.6,5.0,3.9,3.0,inform_annual
JAM,2023,2.9,3.1,2.3,3.5,5.0,3.8,2.9,inform_annual
JAM,2024,2.9,3.1,2.3,3.6,5.0,3.7,2.9,inform_annual
NIC,2019,4.4,3.8,3.8,6.0,5.8,5.1,4.5,inform_annual
NIC,2020,4.6,4.3,3.7,6.1,5.8,5.1,4.6,inform_annual
NIC,2021,4.9,4.3,4.6,6.0,5.8,5.2,4.5,inform_annual
NIC,2022,4.8,4.3,4.2,6.2,5.8,5.3,4.6,inform_annual
NIC,2023,4.8,4.3,4.2,6.3,5.8,5.6,4.4,inform_annual
NIC,2024,4.9,4.3,4.2,6.4,5.8,5.9,4.4,inform_annual
PAN,2019,4.0,3.1,3.6,5.6,5.1,2.4,2.8,inform_annual
PAN,2020,4.0,3.2,3.7,5.4,5.2,2.3,2.6,inform_annual
PAN,2021,4.1,3.3,3.7,5.5,5.1,2.4,2.8,inform_annual
PAN,2022,4.1,3.3,3.9,5.4,5.1,2.5,2.6,inform_annual
PAN,2023,4.5,3.3,4.9,5.5,5.1,2.4,2.5,inform_annual
PAN,2024,4.1,3.3,3.8,5.5,5.1,2.3,2.5,inform_annual
SLV,2019,3.7,3.7,3.7,3.8,5.6,4.3,2.7,inform_annual
SLV,2020,3.7,3.7,3.6,3.7,5.6,4.4,2.6,inform_annual
SLV,2021,3.6,3.7,3.3,3.7,5.6,4.5,2.8,inform_annual
SLV,2022,3.5,3.7,3.3,3.6,5.6,4.6,2.5,inform_annual
SLV,2023,4.1,4.2,4.2,3.8,5.6,4.6,2.8,inform_annual
SLV,2024,4.1,3.9,4.9,3.7,5.6,4.7,2.8,inform_annual
SUR,2019,3.0,2.0,2.6,5.1,3.5,3.5,3.9,inform_annual
SUR,2020,3.0,2.0,2.8,5.0,3.5,3.5,3.7,inform_annual
SUR,2021,3.1,2.0,2.9,5.2,3.5,3.6,3.9,inform_annual
SUR,2022,3.2,2.0,3.1,5.1,3.5,3.7,3.6,inform_annual
SUR,2023,3.2,2.0,3.1,5.1,3.5,3.5,3.4,inform_annual
SUR,2024,3.1,1.9,3.0,5.1,3.4,3.6,3.4,inform_annual
TTO,2019,3.2,2.4,4.2,3.4,3.9,1.8,1.3,inform_annual
TTO,2020,3.0,2.4,3.1,3.5,3.9,1.8,1.2,inform_annual
TTO,2021,2.9,2.4,3.0,3.5,3.9,1.8,1.2,inform_annual
TTO,2022,2.9,2.4,3.0,3.4,3.9,1.8,1.3,inform_annual
TTO,2023,3.1,2.4,3.5,3.5,3.9,1.7,1.3,inform_annual
TTO,2024,3.0,2.4,3.3,3.5,3.9,1.7,1.3,inform_annual
VEN,2019,5.5,6.9,3.6,6.6,5.8,3.3,4.0,inform_annual
VEN,2020,6.1,6.8,4.9,6.8,5.9,3.5,4.4,inform_annual
VEN,2021,6.1,5.5,5.7,7.1,5.9,4.0,4.5,inform_annual
VEN,2022,6.2,5.4,6.1,7.1,5.9,4.1,4.5,inform_annual
VEN,2023,6.5,5.9,6.6,6.9,5.9,4.0,4.4,inform_annual
VEN,2024,6.4,5.9,6.5,6.9,5.9,4.0,4.4,inform_annual
