iso3,year,month,source_country,source_org,dest_org,sector,amount_usd,is_cerf,is_echo,country_role
COL,2019,1,Multilateral,,Save the Children,Multi-sector,64973,False,False,pressure
COL,2019,1,Multilateral,,Caritas Switzerland,Multi-sector,32756,False,False,pressure
COL,2019,1,Private,Private (individuals & organizations),Caritas Switzerland,Multi-sector,6919,False,False,pressure
COL,2019,1,Multilateral,Bloomberg,International Rescue Committee,Multi-sector,591,False,False,pressure
COL,2019,2,United States,"United States of America, Government of",International Organization for Migration,Multi-sector,9876509,False,False,pressure
COL,2019,2,Netherlands,"Netherlands, Government of",Dutch Relief Alliance,Unearmarked,4376357,False,False,pressure
COL,2019,2,Canada,"Canada, Government of",United Nations High Commissioner for Refugees,Multi-sector,1490313,False,False,pressure
COL,2019,2,United States,"United States of America, Government of",Pan American Development Foundation,Multi-sector,1090910,False,False,pressure
COL,2019,2,Netherlands,"Netherlands, Government of",International Organization for Migration,Multi-sector,1016718,False,False,pressure
COL,2019,2,Germany,"Germany, Government of",Plan International,Multi-sector,699301,False,False,pressure
COL,2019,2,Multilateral,,Save the Children,Multi-sector,618187,False,False,pressure
COL,2019,2,Spain,"Spain, Government of",Fundación Ayuda en Acción Colombia,Multi-sector,578035,False,False,pressure
COL,2019,2,Multilateral,European Commission,World Health Organization,Multi-sector,480209,False,False,pressure
COL,2019,2,Multilateral,"Sweden, Government of",Oxfam,Multi-sector,477816,False,False,pressure
COL,2019,2,Multilateral,Oxfam,Oxfam,Multi-sector,472028,False,False,pressure
COL,2019,2,Multilateral,Gilead Sciences Inc,Pan American Development Foundation,Multi-sector,440000,False,False,pressure
COL,2019,2,Multilateral,Dutch Relief Alliance,Terre des Hommes International,Multi-sector,362729,False,False,pressure
COL,2019,2,Multilateral,War Child Holland,War Child Holland,Multi-sector,338551,False,False,pressure
COL,2019,2,Canada,"Canada, Government of",,Health,303951,False,False,pressure
COL,2019,2,Multilateral,Medicor Foundation,Terre des Hommes International,Multi-sector,301205,False,False,pressure
COL,2019,2,Sweden,"Sweden, Government of",Plan International,Multi-sector,282422,False,False,pressure
COL,2019,2,United States,"United States of America, Government of",World Vision International,Multi-sector,278366,False,False,pressure
COL,2019,2,Multilateral,European Commission's Humanitarian Aid and Civil Protection Department,Action Contre la Faim - Action Against Hunger International,Multi-sector,277931,False,True,pressure
COL,2019,2,Multilateral,Pan American Development Foundation,Pan American Development Foundation,Multi-sector,269000,False,False,pressure
COL,2019,2,Switzerland,"Switzerland, Government of",Office for the Coordination of Humanitarian Affairs,Coordination and support services,250501,False,False,pressure
COL,2019,2,Colombia,Mercy Corps,Mercy Corps,Multi-sector,164343,False,False,pressure
COL,2019,2,Multilateral,Oxfam Intermón Spain,Oxfam,Multi-sector,114811,False,False,pressure
COL,2019,2,Multilateral,Stichting Vluchteling,International Rescue Committee,Multi-sector,81498,False,False,pressure
COL,2019,2,Denmark,"Denmark, Government of",Oxfam,Multi-sector,70000,False,False,pressure
COL,2019,2,Multilateral,,International Rescue Committee,Multi-sector,68837,False,False,pressure
COL,2019,2,Germany,"Germany, Government of",Caritas Germany (DCV),Multi-sector,41332,False,False,pressure
COL,2019,2,Multilateral,Bloomberg,International Rescue Committee,Multi-sector,21588,False,False,pressure
COL,2019,2,Switzerland,"Switzerland, Government of",Terre des Hommes International,Multi-sector,7976,False,False,pressure
COL,2019,3,United States,"United States of America, Government of",United Nations High Commissioner for Refugees,Multi-sector,9500001,False,False,pressure
COL,2019,3,United States,"United States of America, Government of",International Organization for Migration,Multi-sector,6849843,False,False,pressure
COL,2019,3,United States,"United States of America, Government of",Adventist Development and Relief Agency,Multi-sector,2485000,False,False,pressure
COL,2019,3,United Arab Emirates,"United Arab Emirates, Government of",Red Crescent Society of the United Arab Emirates,Food Security,1500000,False,False,pressure
COL,2019,3,United Arab Emirates,"United Arab Emirates, Government of",Red Crescent Society of the United Arab Emirates,Health,1500000,False,False,pressure
COL,2019,3,Multilateral,,Save the Children,Multi-sector,1345000,False,False,pressure
COL,2019,3,Sweden,"Sweden, Government of",United Nations Children's Fund,Multi-sector,571994,False,False,pressure
COL,2019,3,Multilateral,Dutch Relief Alliance,Terre des Hommes International,Multi-sector,269897,False,False,pressure
COL,2019,3,Canada,"Canada, Government of",International Organization for Migration,Multi-sector,250162,False,False,pressure
COL,2019,3,Multilateral,,International Rescue Committee,Multi-sector,184926,False,False,pressure
COL,2019,3,Multilateral,Spanish Red Cross,Colombian Red Cross Society,Multi-sector,151868,False,False,pressure
COL,2019,3,Sweden,"Sweden, Government of",International Organization for Migration,Multi-sector,147323,False,False,pressure
COL,2019,3,Multilateral,International Labour Organization,International Labour Organization,Multi-sector,130018,False,False,pressure
COL,2019,3,Norway,"Norway, Government of",Norwegian Refugee Council,Unearmarked,99420,False,False,pressure
COL,2019,3,Multilateral,Stichting Vluchteling,International Rescue Committee,Multi-sector,89648,False,False,pressure
COL,2019,3,United States,"United States of America, Government of",World Vision International,Multi-sector,49994,False,False,pressure
COL,2019,3,Spain,"Spain, Government of",Colombian Red Cross Society,Multi-sector,36106,False,False,pressure
