iso3,year,month,funding_usd,ocha_data_flag
CUB,2019,2019-05-01,276158.25,ocha_reported
CUB,2019,2019-06-01,276158.25,ocha_reported
CUB,2019,2019-07-01,276158.25,ocha_reported
CUB,2019,2019-08-01,276158.25,ocha_reported
CUB,2019,2019-09-01,276158.25,ocha_reported
CUB,2019,2019-10-01,276158.25,ocha_reported
CUB,2019,2019-11-01,276158.25,ocha_reported
CUB,2019,2019-12-01,276158.25,ocha_reported
CUB,2020,2020-01-01,497114.92,ocha_reported
CUB,2020,2020-02-01,497114.92,ocha_reported
CUB,2020,2020-03-01,497114.92,ocha_reported
CUB,2020,2020-04-01,497114.92,ocha_reported
CUB,2020,2020-05-01,497114.92,ocha_reported
CUB,2020,2020-06-01,497114.92,ocha_reported
CUB,2020,2020-07-01,497114.92,ocha_reported
CUB,2020,2020-08-01,497114.92,ocha_reported
CUB,2020,2020-09-01,497114.92,ocha_reported
CUB,2020,2020-10-01,497114.92,ocha_reported
CUB,2020,2020-11-01,497114.92,ocha_reported
CUB,2020,2020-12-01,497114.92,ocha_reported
CUB,2021,2021-01-01,82203.75,ocha_reported
CUB,2021,2021-02-01,82203.75,ocha_reported
CUB,2021,2021-03-01,82203.75,ocha_reported
CUB,2021,2021-04-01,82203.75,ocha_reported
CUB,2021,2021-05-01,82203.75,ocha_reported
CUB,2021,2021-06-01,82203.75,ocha_reported
CUB,2021,2021-07-01,82203.75,ocha_reported
CUB,2021,2021-08-01,82203.75,ocha_reported
CUB,2021,2021-09-01,82203.75,ocha_reported
CUB,2021,2021-10-01,82203.75,ocha_reported
CUB,2021,2021-11-01,82203.75,ocha_reported
CUB,2021,2021-12-01,82203.75,ocha_reported
CUB,2022,2022-01-01,889954.25,ocha_reported
CUB,2022,2022-02-01,889954.25,ocha_reported
CUB,2022,2022-03-01,889954.25,ocha_reported
CUB,2022,2022-04-01,889954.25,ocha_reported
CUB,2022,2022-05-01,889954.25,ocha_reported
CUB,2022,2022-06-01,889954.25,ocha_reported
CUB,2022,2022-07-01,889954.25,ocha_reported
CUB,2022,2022-08-01,889954.25,ocha_reported
CUB,2022,2022-09-01,889954.25,ocha_reported
CUB,2022,2022-10-01,889954.25,ocha_reported
CUB,2022,2022-11-01,889954.25,ocha_reported
CUB,2022,2022-12-01,889954.25,ocha_reported
CUB,2023,2023-01-01,861034.83,ocha_reported
CUB,2023,2023-02-01,861034.83,ocha_reported
CUB,2023,2023-03-01,861034.83,ocha_reported
CUB,2023,2023-04-01,861034.83,ocha_reported
CUB,2023,2023-05-01,861034.83,ocha_reported
CUB,2023,2023-06-01,861034.83,ocha_reported
CUB,2023,2023-07-01,861034.83,ocha_reported
CUB,2023,2023-08-01,861034.83,ocha_reported
CUB,2023,2023-09-01,861034.83,ocha_reported
CUB,2023,2023-10-01,861034.83,ocha_reported
CUB,2023,2023-11-01,861034.83,ocha_reported
CUB,2023,2023-12-01,861034.83,ocha_reported
CUB,2024,2024-01-01,1083420.42,ocha_reported
CUB,2024,2024-02-01,1083420.42,ocha_reported
CUB,2024,2024-03-01,1083420.42,ocha_reported
CUB,2024,2024-04-01,1083420.42,ocha_reported
CUB,2024,2024-05-01,1083420.42,ocha_reported
CUB,2024,2024-06-01,1083420.42,ocha_reported
CUB,2024,2024-07-01,1083420.42,ocha_reported
CUB,2024,2024-08-01,1083420.42,ocha_reported
CUB,2024,2024-09-01,1083420.42,ocha_reported
CUB,2024,2024-10-01,1083420.42,ocha_reported
CUB,2024,2024-11-01,1083420.42,ocha_reported
CUB,2024,2024-12-01,1083420.42,ocha_reported
DOM,2019,2019-01-01,38045.08,ocha_reported
DOM,2019,2019-02-01,38045.08,ocha_reported
DOM,2019,2019-03-01,38045.08,ocha_reported
DOM,2019,2019-04-01,38045.08,ocha_reported
DOM,2019,2019-05-01,38045.08,ocha_reported
DOM,2019,2019-06-01,38045.08,ocha_reported
DOM,2019,2019-07-01,38045.08,ocha_reported
DOM,2019,2019-08-01,38045.08,ocha_reported
