year,asylum_iso3,origin_iso3,country_asylum,country_origin,refugees_in,asylum_seekers_in,total_displaced_in,idps,stateless
2021,COL,SYR,Colombia,Syrian Arab Rep.,11,7,18,0,0
2021,COL,TUR,Colombia,Türkiye,6,8,14,0,0
2021,COL,UNK,Colombia,Unknown ,5,0,5,0,0
2021,COL,VEN,Colombia,Venezuela,1297,28785,30082,0,0
2021,COL,YEM,Colombia,Yemen,0,5,5,0,0
2024,COL,AFG,Colombia,Afghanistan,7,0,7,0,0
2024,COL,BGD,Colombia,Bangladesh,0,0,0,0,0
2024,COL,BOL,Colombia,Bolivia (Plurinational State of),5,0,5,0,0
2024,COL,COL,Colombia,Colombia,0,0,0,7031498,0
2024,COL,CUB,Colombia,Cuba,96,525,621,0,0
2024,COL,ECU,Colombia,Ecuador,5,134,139,0,0
2024,COL,ERI,Colombia,Eritrea,5,0,5,0,0
2024,COL,ETH,Colombia,Ethiopia,7,0,7,0,0
2024,COL,GHA,Colombia,Ghana,5,0,5,0,0
2024,COL,HTI,Colombia,Haiti,0,0,0,0,0
2024,COL,HND,Colombia,Honduras,5,0,5,0,0
2024,COL,HUN,Colombia,Hungary,5,0,5,0,0
2024,COL,IND,Colombia,India,0,0,0,0,0
2024,COL,IRN,Colombia,Iran (Islamic Rep. of),0,0,0,0,0
2024,COL,IRQ,Colombia,Iraq,8,0,8,0,0
2024,COL,LBR,Colombia,Liberia,5,0,5,0,0
2024,COL,NPL,Colombia,Nepal,0,0,0,0,0
2024,COL,NIC,Colombia,Nicaragua,10,0,10,0,0
2024,COL,PER,Colombia,Peru,0,25,25,0,0
2024,COL,RUS,Colombia,Russian Federation,11,38,49,0,0
2024,COL,SLV,Colombia,El Salvador,7,0,7,0,0
2024,COL,SLE,Colombia,Sierra Leone,5,0,5,0,0
2024,COL,SOM,Colombia,Somalia,11,0,11,0,0
2024,COL,SRB,Colombia,Serbia and Kosovo: S/RES/1244 (1999),5,0,5,0,0
2024,COL,XXA,Colombia,Stateless,0,0,0,0,5
2024,COL,SYR,Colombia,Syrian Arab Rep.,13,0,13,0,0
2024,COL,TUR,Colombia,Türkiye,7,0,7,0,0
2024,COL,UNK,Colombia,Unknown ,5,264,269,0,0
2024,COL,UKR,Colombia,Ukraine,9,25,34,0,0
2024,COL,VEN,Colombia,Venezuela,1070,28294,29364,0,0
2023,COL,AFG,Colombia,Afghanistan,7,0,7,0,0
2023,COL,ARG,Colombia,Argentina,0,5,5,0,0
2023,COL,BOL,Colombia,Bolivia (Plurinational State of),5,5,10,0,0
2023,COL,CHN,Colombia,China,0,0,0,0,0
2023,COL,CHL,Colombia,Chile,0,5,5,0,0
2023,COL,COL,Colombia,Colombia,0,0,0,6918373,0
2023,COL,CUB,Colombia,Cuba,111,230,341,0,0
2023,COL,DOM,Colombia,Dominican Republic,0,5,5,0,0
2023,COL,ECU,Colombia,Ecuador,5,46,51,0,0
2023,COL,ERI,Colombia,Eritrea,5,0,5,0,0
2023,COL,ETH,Colombia,Ethiopia,7,0,7,0,0
2023,COL,GHA,Colombia,Ghana,5,0,5,0,0
2023,COL,GTM,Colombia,Guatemala,0,5,5,0,0
2023,COL,HTI,Colombia,Haiti,0,11,11,0,0
2023,COL,HND,Colombia,Honduras,5,0,5,0,0
2023,COL,HUN,Colombia,Hungary,5,0,5,0,0
2023,COL,IRQ,Colombia,Iraq,8,0,8,0,0
2023,COL,LBR,Colombia,Liberia,5,0,5,0,0
2023,COL,NIC,Colombia,Nicaragua,10,0,10,0,0
2023,COL,PER,Colombia,Peru,0,12,12,0,0
2023,COL,RUS,Colombia,Russian Federation,9,35,44,0,0
2023,COL,SLV,Colombia,El Salvador,7,0,7,0,0
2023,COL,SLE,Colombia,Sierra Leone,5,0,5,0,0
2023,COL,SOM,Colombia,Somalia,11,0,11,0,0
2023,COL,SRB,Colombia,Serbia and Kosovo: S/RES/1244 (1999),5,0,5,0,0
2023,COL,SYR,Colombia,Syrian Arab Rep.,13,5,18,0,0
2023,COL,TUR,Colombia,Türkiye,7,5,12,0,0
2023,COL,UNK,Colombia,Unknown ,5,0,5,0,0
2023,COL,UKR,Colombia,Ukraine,8,24,32,0,0
2023,COL,VEN,Colombia,Venezuela,1134,23449,24583,0,0
2022,COL,AFG,Colombia,Afghanistan,9,0,9,0,0
2022,COL,BOL,Colombia,Bolivia (Plurinational State of),5,0,5,0,0
2022,COL,CHN,Colombia,China,0,0,0,0,0
2022,COL,COL,Colombia,Colombia,0,0,0,6834492,0
2022,COL,CUB,Colombia,Cuba,87,233,320,0,0
2022,COL,DOM,Colombia,Dominican Republic,0,5,5,0,0
2022,COL,ECU,Colombia,Ecuador,5,23,28,0,0
2022,COL,ERI,Colombia,Eritrea,5,0,5,0,0
2022,COL,ETH,Colombia,Ethiopia,7,0,7,0,0
2022,COL,GHA,Colombia,Ghana,5,0,5,0,0
2022,COL,HTI,Colombia,Haiti,0,7,7,0,0
2022,COL,HND,Colombia,Honduras,5,0,5,0,0
2022,COL,HUN,Colombia,Hungary,5,0,5,0,0
2022,COL,IND,Colombia,India,0,0,0,0,0
2022,COL,IRQ,Colombia,Iraq,8,0,8,0,0
2022,COL,LBR,Colombia,Liberia,5,0,5,0,0
2022,COL,NPL,Colombia,Nepal,0,0,0,0,0
2022,COL,NIC,Colombia,Nicaragua,10,0,10,0,0
2022,COL,PER,Colombia,Peru,0,10,10,0,0
2022,COL,RUS,Colombia,Russian Federation,9,20,29,0,0
2022,COL,SLV,Colombia,El Salvador,7,0,7,0,0
2022,COL,SLE,Colombia,Sierra Leone,5,0,5,0,0
2022,COL,SOM,Colombia,Somalia,11,0,11,0,0
2022,COL,SRB,Colombia,Serbia and Kosovo: S/RES/1244 (1999),5,0,5,0,0
2022,COL,XXA,Colombia,Stateless,0,0,0,0,11
2022,COL,SYR,Colombia,Syrian Arab Rep.,13,5,18,0,0
2022,COL,TUR,Colombia,Türkiye,7,0,7,0,0
2022,COL,UNK,Colombia,Unknown ,5,6,11,0,0
2022,COL,UKR,Colombia,Ukraine,8,21,29,0,0
2022,COL,VEN,Colombia,Venezuela,1381,22345,23726,0,0
2019,CRI,AGO,Costa Rica,Angola,0,51,51,0,0
2019,CRI,ARG,Costa Rica,Argentina,0,17,17,0,0
2019,CRI,BDI,Costa Rica,Burundi,5,0,5,0,0
2019,CRI,BGD,Costa Rica,Bangladesh,0,16,16,0,0
2019,CRI,BFA,Costa Rica,Burkina Faso,0,5,5,0,0
2019,CRI,BOL,Costa Rica,Bolivia (Plurinational State of),0,5,5,0,0
2019,CRI,BRA,Costa Rica,Brazil,0,12,12,0,0
2019,CRI,CHN,Costa Rica,China,0,152,152,0,0
2019,CRI,CHL,Costa Rica,Chile,0,12,12,0,0
2019,CRI,CMR,Costa Rica,Cameroon,0,21,21,0,0
2019,CRI,COG,Costa Rica,Congo,0,57,57,0,0
2019,CRI,COD,Costa Rica,Dem. Rep. of the Congo,12,41,53,0,0
2019,CRI,COL,Costa Rica,Colombia,2325,1338,3663,0,0
2019,CRI,CUB,Costa Rica,Cuba,380,1933,2313,0,0
2019,CRI,DOM,Costa Rica,Dominican Republic,0,64,64,0,0
2019,CRI,ECU,Costa Rica,Ecuador,0,17,17,0,0
2019,CRI,ERI,Costa Rica,Eritrea,0,7,7,0,0
2019,CRI,ETH,Costa Rica,Ethiopia,5,0,5,0,0
2019,CRI,GMB,Costa Rica,Gambia,0,5,5,0,0
2019,CRI,DEU,Costa Rica,Germany,0,5,5,0,0
2019,CRI,GHA,Costa Rica,Ghana,0,63,63,0,0
2019,CRI,GTM,Costa Rica,Guatemala,24,35,59,0,0
2019,CRI,HTI,Costa Rica,Haiti,12,111,123,0,0
2019,CRI,HND,Costa Rica,Honduras,189,715,904,0,0
2019,CRI,CIV,Costa Rica,Cote d'Ivoire,0,5,5,0,0
2019,CRI,IDN,Costa Rica,Indonesia,5,0,5,0,0
2019,CRI,IRN,Costa Rica,Iran (Islamic Rep. of),5,0,5,0,0
2019,CRI,IRQ,Costa Rica,Iraq,5,0,5,0,0
2019,CRI,ISR,Costa Rica,Israel,0,5,5,0,0
2019,CRI,ITA,Costa Rica,Italy,0,6,6,0,0
2019,CRI,JAM,Costa Rica,Jamaica,0,8,8,0,0
2019,CRI,MEX,Costa Rica,Mexico,8,23,31,0,0
2019,CRI,NPL,Costa Rica,Nepal,0,105,105,0,0
2019,CRI,NER,Costa Rica,Niger,0,5,5,0,0
2019,CRI,NIC,Costa Rica,Nicaragua,1402,43481,44883,0,0
2019,CRI,NGA,Costa Rica,Nigeria,17,0,17,0,0
2019,CRI,PAK,Costa Rica,Pakistan,5,11,16,0,0
2019,CRI,PAN,Costa Rica,Panama,5,13,18,0,0
2019,CRI,PER,Costa Rica,Peru,13,0,13,0,0
2019,CRI,RUS,Costa Rica,Russian Federation,25,0,25,0,0
2019,CRI,SLV,Costa Rica,El Salvador,1155,854,2009,0,0
2019,CRI,SEN,Costa Rica,Senegal,0,5,5,0,0
2019,CRI,SOM,Costa Rica,Somalia,7,7,14,0,0
2019,CRI,ESP,Costa Rica,Spain,0,10,10,0,0
2019,CRI,XXA,Costa Rica,Stateless,0,0,0,0,231
2019,CRI,SYR,Costa Rica,Syrian Arab Rep.,5,24,29,0,0
2019,CRI,TUR,Costa Rica,Türkiye,0,5,5,0,0
2019,CRI,UNK,Costa Rica,Unknown ,0,31060,31060,0,0
2019,CRI,UKR,Costa Rica,Ukraine,13,0,13,0,0
2019,CRI,USA,Costa Rica,United States of America,5,31,36,0,0
2019,CRI,VEN,Costa Rica,Venezuela,577,6809,7386,0,0
2019,CRI,ZWE,Costa Rica,Zimbabwe,0,5,5,0,0
2020,CRI,AGO,Costa Rica,Angola,0,52,52,0,0
2020,CRI,ARG,Costa Rica,Argentina,0,8,8,0,0
2020,CRI,BDI,Costa Rica,Burundi,9,0,9,0,0
2020,CRI,BGD,Costa Rica,Bangladesh,0,16,16,0,0
2020,CRI,BFA,Costa Rica,Burkina Faso,0,5,5,0,0
2020,CRI,BOL,Costa Rica,Bolivia (Plurinational State of),0,5,5,0,0
2020,CRI,BRA,Costa Rica,Brazil,0,13,13,0,0
2020,CRI,CHN,Costa Rica,China,0,205,205,0,0
2020,CRI,CHL,Costa Rica,Chile,0,16,16,0,0
2020,CRI,CMR,Costa Rica,Cameroon,0,22,22,0,0
2020,CRI,COG,Costa Rica,Congo,0,57,57,0,0
2020,CRI,COD,Costa Rica,Dem. Rep. of the Congo,12,42,54,0,0
2020,CRI,COL,Costa Rica,Colombia,2322,1042,3364,0,0
2020,CRI,CUB,Costa Rica,Cuba,417,3206,3623,0,0
2020,CRI,DOM,Costa Rica,Dominican Republic,0,71,71,0,0
2020,CRI,ECU,Costa Rica,Ecuador,0,16,16,0,0
2020,CRI,ERI,Costa Rica,Eritrea,0,7,7,0,0
2020,CRI,ETH,Costa Rica,Ethiopia,5,0,5,0,0
2020,CRI,GMB,Costa Rica,Gambia,0,5,5,0,0
2020,CRI,DEU,Costa Rica,Germany,0,5,5,0,0
2020,CRI,GHA,Costa Rica,Ghana,0,57,57,0,0
2020,CRI,GTM,Costa Rica,Guatemala,25,36,61,0,0
2020,CRI,HTI,Costa Rica,Haiti,12,128,140,0,0
2020,CRI,HND,Costa Rica,Honduras,205,702,907,0,0
2020,CRI,CIV,Costa Rica,Cote d'Ivoire,0,5,5,0,0
2020,CRI,IND,Costa Rica,India,0,5,5,0,0
2020,CRI,IDN,Costa Rica,Indonesia,5,0,5,0,0
2020,CRI,IRN,Costa Rica,Iran (Islamic Rep. of),5,0,5,0,0
2020,CRI,IRQ,Costa Rica,Iraq,5,0,5,0,0
2020,CRI,ISR,Costa Rica,Israel,0,5,5,0,0
2020,CRI,ITA,Costa Rica,Italy,0,5,5,0,0
2020,CRI,JAM,Costa Rica,Jamaica,0,13,13,0,0
2020,CRI,LBN,Costa Rica,Lebanon,0,5,5,0,0
2020,CRI,MEX,Costa Rica,Mexico,13,11,24,0,0
2020,CRI,NPL,Costa Rica,Nepal,0,102,102,0,0
