SID,ISO3,Country,country_role,year,month,NAME,peak_wind_knots,peak_sshs,min_dist2land,made_landfall,track_observations,sshs_label,wind_intensity_score,year_month
2023232N13300,DOM,Dominican Republic,tier1,2023,8,FRANKLIN,40.0,0,0,1,6,tropical_storm,0.25,2023-08
2023239N21274,CUB,Cuba,tier1,2023,8,IDALIA,68.0,1,70,0,2,cat1,0.425,2023-08
2023297N11277,HND,Honduras,tier1,2023,10,UNNAMED,25.0,-1,0,1,3,subtropical_storm,0.1562,2023-10
2023297N11277,NIC,Nicaragua,tier1,2023,10,UNNAMED,25.0,-1,0,1,10,subtropical_storm,0.1562,2023-10
2023321N15278,JAM,Jamaica,tier1,2023,11,UNNAMED,30.0,-3,22,0,1,depression,0.1875,2023-11
2024181N09320,JAM,Jamaica,tier1,2024,7,BERYL,115.0,4,44,0,1,cat4,0.7188,2024-07
2024181N09320,VEN,Venezuela,pressure_input,2024,7,BERYL,115.0,4,151,0,2,cat4,0.7188,2024-07
2024216N20284,BHS,Bahamas,tier1,2024,8,DEBBY,25.0,-1,43,0,1,subtropical_storm,0.1562,2024-08
2024216N20284,CUB,Cuba,tier1,2024,8,DEBBY,35.0,0,0,1,12,tropical_storm,0.2188,2024-08
2024293N17275,BLZ,Belize,tier1,2024,10,NADINE,50.0,0,0,1,4,tropical_storm,0.3125,2024-10
2024293N17275,GTM,Guatemala,tier1,2024,10,NADINE,50.0,0,0,1,6,tropical_storm,0.3125,2024-10
2024293N21294,BHS,Bahamas,tier1,2024,10,OSCAR,70.0,1,11,1,8,cat1,0.4375,2024-10
2024293N21294,CUB,Cuba,tier1,2024,10,OSCAR,75.0,1,0,1,16,cat1,0.4688,2024-10
2024309N13283,COL,Colombia,pressure_input,2024,11,RAFAEL,30.0,-3,282,0,3,depression,0.1875,2024-11
2024309N13283,CUB,Cuba,tier1,2024,11,RAFAEL,100.0,3,0,1,10,cat3,0.625,2024-11
2024319N16282,BLZ,Belize,tier1,2024,11,SARA,35.0,0,0,1,6,tropical_storm,0.2188,2024-11
2024319N16282,GTM,Guatemala,tier1,2024,11,SARA,35.0,0,0,1,4,tropical_storm,0.2188,2024-11
2024319N16282,HND,Honduras,tier1,2024,11,SARA,45.0,0,0,1,22,tropical_storm,0.2812,2024-11
