ISO3,Country,country_role,year_month,event_year,event_month,event_count,max_severity,mean_severity,sum_affected,sum_deaths,disaster_types,has_storm,has_flood,has_earthquake,has_drought,has_heatwave,compound_event
HTI,Haiti,tier1,2023-11,2023,11,1,0.0699,0.0699,0.0,2.0,flood,0,1,0,0,0,0
HTI,Haiti,tier1,2024-11,2024,11,3,0.5701,0.3111,172815.0,17.0,flood|storm,1,1,0,0,0,1
HTI,Haiti,tier1,2024-12,2024,12,1,0.3982,0.3982,1015.0,14.0,flood,0,1,0,0,0,0
JAM,Jamaica,tier1,2024-07,2024,7,1,0.479,0.479,160060.0,3.0,storm,1,0,0,0,0,0
JAM,Jamaica,tier1,2024-11,2024,11,1,0.0699,0.0699,0.0,2.0,storm,1,0,0,0,0,0
NIC,Nicaragua,tier1,2020-11,2020,11,2,0.6345,0.5203,930000.0,20.0,storm,1,0,0,0,0,0
NIC,Nicaragua,tier1,2022-07,2022,7,1,0.3637,0.3637,3012.0,4.0,storm,1,0,0,0,0,0
NIC,Nicaragua,tier1,2022-10,2022,10,1,0.395,0.395,47100.0,1.0,storm,1,0,0,0,0,0
NIC,Nicaragua,tier1,2024-06,2024,6,1,0.0,0.0,0.0,0.0,storm,1,0,0,0,0,0
NIC,Nicaragua,tier1,2024-11,2024,11,1,0.0699,0.0699,0.0,2.0,storm,1,0,0,0,0,0
PAN,Panama,tier1,2020-08,2020,8,1,0.3218,0.3218,150.0,11.0,flood,0,1,0,0,0,0
PAN,Panama,tier1,2020-11,2020,11,2,0.5567,0.3296,5000.0,83.0,storm,1,0,0,0,0,0
PAN,Panama,tier1,2021-06,2021,6,1,0.2611,0.2611,3001.0,0.0,flood,0,1,0,0,0,0
PAN,Panama,tier1,2021-07,2021,7,1,0.3771,0.3771,27189.0,1.0,flood,0,1,0,0,0,0
PAN,Panama,tier1,2022-11,2022,11,1,0.1636,0.1636,150.0,0.0,flood,0,1,0,0,0,0
PAN,Panama,tier1,2024-11,2024,11,1,0.402,0.402,3895.0,7.0,storm,1,0,0,0,0,0
PRI,Puerto Rico,tier1,2020-01,2020,1,1,0.3807,0.3807,5078.0,4.0,earthquake,0,0,1,0,0,0
PRI,Puerto Rico,tier1,2020-05,2020,5,1,0.1636,0.1636,150.0,0.0,earthquake,0,0,1,0,0,0
PRI,Puerto Rico,tier1,2020-08,2020,8,1,0.0441,0.0441,0.0,1.0,storm,1,0,0,0,0,0
PRI,Puerto Rico,tier1,2022-02,2022,2,1,0.0,0.0,0.0,0.0,flood,0,1,0,0,0,0
PRI,Puerto Rico,tier1,2022-09,2022,9,1,0.2074,0.2074,0.0,25.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2019-05,2019,5,1,0.2098,0.2098,160.0,1.0,earthquake,0,0,1,0,0,0
SLV,El Salvador,tier1,2020-05,2020,5,1,0.6112,0.6112,149840.0,32.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2020-11,2020,11,2,0.0441,0.02205,0.0,1.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2021-09,2021,9,1,0.3002,0.3002,300.0,5.0,flood,0,1,0,0,0,0
SLV,El Salvador,tier1,2022-07,2022,7,1,0.1946,0.1946,100.0,1.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2022-10,2022,10,1,0.4505,0.4505,9273.0,10.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2023-10,2023,10,1,0.291,0.291,500.0,3.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2024-06,2024,6,1,0.486,0.486,8570.0,19.0,storm,1,0,0,0,0,0
SLV,El Salvador,tier1,2024-11,2024,11,1,0.2014,0.2014,480.0,0.0,storm,1,0,0,0,0,0
SUR,Suriname,tier1,2021-04,2021,4,1,0.3006,0.3006,10100.0,0.0,flood,0,1,0,0,0,0
SUR,Suriname,tier1,2022-03,2022,3,1,0.2969,0.2969,9000.0,0.0,flood,0,1,0,0,0,0
TTO,Trinidad and Tobago,tier1,2022-11,2022,11,1,0.3754,0.3754,100000.0,0.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2019-10,2019,10,1,0.3717,0.3717,2000.0,6.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2020-11,2020,11,1,0.3561,0.3561,3690.0,3.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2021-04,2021,4,1,0.2312,0.2312,1200.0,0.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2021-08,2021,8,1,0.7066,0.7066,1400100.0,46.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2022-04,2022,4,1,0.4149,0.4149,86800.0,1.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2022-08,2022,8,1,0.2479,0.2479,2000.0,0.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2022-09,2022,9,1,0.1938,0.1938,0.0,20.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2022-10,2022,10,2,0.3361,0.3361,32000.0,3.0,flood|storm,1,1,0,0,0,1
VEN,Venezuela,pressure_input,2022-11,2022,11,1,0.3684,0.3684,900.0,9.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2023-06,2023,6,1,0.3174,0.3174,112.0,12.0,flood,0,1,0,0,0,0
VEN,Venezuela,pressure_input,2024-07,2024,7,1,0.4816,0.4816,29000.0,9.0,storm,1,0,0,0,0,0
