Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2024,Colombia,"Bolivia (Plurinational State of)",COL,BOL,5,0,0,0,0,0,0
2024,Colombia,Colombia,COL,COL,0,0,7031498,0,0,807700,43
2024,Colombia,Cuba,COL,CUB,96,525,0,0,0,0,13
2024,Colombia,Ecuador,COL,ECU,5,134,0,0,0,0,87
2024,Colombia,Eritrea,COL,ERI,5,0,0,0,0,0,0
2024,Colombia,Ethiopia,COL,ETH,7,0,0,0,0,0,0
2024,Colombia,Ghana,COL,GHA,5,0,0,0,0,0,11
2024,Colombia,Haiti,COL,HTI,0,0,0,0,0,0,12
2024,Colombia,Honduras,COL,HND,5,0,0,0,0,0,0
2024,Colombia,Hungary,COL,HUN,5,0,0,0,0,0,0
2024,Colombia,India,COL,IND,0,0,0,0,0,0,33
2024,Colombia,"Iran (Islamic Rep. of)",COL,IRN,0,0,0,0,0,0,22
2024,Colombia,Iraq,COL,IRQ,8,0,0,0,0,0,0
2024,Colombia,Liberia,COL,LBR,5,0,0,0,0,0,0
2024,Colombia,Nepal,COL,NPL,0,0,0,0,0,0,32
2024,Colombia,Nicaragua,COL,NIC,10,0,0,0,0,0,0
2024,Colombia,Peru,COL,PER,0,25,0,0,0,0,0
2024,Colombia,"Russian Federation",COL,RUS,11,38,0,0,0,0,0
2024,Colombia,"El Salvador",COL,SLV,7,0,0,0,0,0,0
2024,Colombia,"Sierra Leone",COL,SLE,5,0,0,0,0,0,0
2024,Colombia,Somalia,COL,SOM,11,0,0,0,0,0,0
2024,Colombia,"Serbia and Kosovo: S/RES/1244 (1999)",COL,SRB,5,0,0,0,0,0,0
2024,Colombia,Stateless,COL,XXA,0,0,0,0,5,0,0
2024,Colombia,"Syrian Arab Rep.",COL,SYR,13,0,0,0,0,0,0
2024,Colombia,Türkiye,COL,TUR,7,0,0,0,0,0,0
2024,Colombia,"Unknown ",COL,UNK,5,264,0,0,0,0,58
2024,Colombia,Ukraine,COL,UKR,9,25,0,0,0,0,0
2024,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,1070,28294,0,2779604,0,0,0
2023,Colombia,Afghanistan,COL,AFG,7,0,0,0,0,0,63
2023,Colombia,Argentina,COL,ARG,0,5,0,0,0,0,0
2023,Colombia,"Bolivia (Plurinational State of)",COL,BOL,5,5,0,0,0,0,0
2023,Colombia,China,COL,CHN,0,0,0,0,0,0,43
2023,Colombia,Chile,COL,CHL,0,5,0,0,0,0,0
2023,Colombia,Colombia,COL,COL,0,0,6918373,0,0,885300,516000
2023,Colombia,Cuba,COL,CUB,111,230,0,0,0,0,0
2023,Colombia,"Dominican Rep.",COL,DOM,0,5,0,0,0,0,0
2023,Colombia,Ecuador,COL,ECU,5,46,0,0,0,0,207
2023,Colombia,Eritrea,COL,ERI,5,0,0,0,0,0,0
2023,Colombia,Ethiopia,COL,ETH,7,0,0,0,0,0,0
2023,Colombia,Ghana,COL,GHA,5,0,0,0,0,0,20
2023,Colombia,Guatemala,COL,GTM,0,5,0,0,0,0,0
2023,Colombia,Haiti,COL,HTI,0,11,0,0,0,0,183
2023,Colombia,Honduras,COL,HND,5,0,0,0,0,0,0
2023,Colombia,Hungary,COL,HUN,5,0,0,0,0,0,0
2023,Colombia,Iraq,COL,IRQ,8,0,0,0,0,0,0
2023,Colombia,Liberia,COL,LBR,5,0,0,0,0,0,0
2023,Colombia,Nicaragua,COL,NIC,10,0,0,0,0,0,0
2023,Colombia,Peru,COL,PER,0,12,0,0,0,0,0
2023,Colombia,"Russian Federation",COL,RUS,9,35,0,0,0,0,0
2023,Colombia,"El Salvador",COL,SLV,7,0,0,0,0,0,0
2023,Colombia,"Sierra Leone",COL,SLE,5,0,0,0,0,0,0
2023,Colombia,Somalia,COL,SOM,11,0,0,0,0,0,0
2023,Colombia,"Serbia and Kosovo: S/RES/1244 (1999)",COL,SRB,5,0,0,0,0,0,0
2023,Colombia,"Syrian Arab Rep.",COL,SYR,13,5,0,0,0,0,0
2023,Colombia,Türkiye,COL,TUR,7,5,0,0,0,0,0
2023,Colombia,"Unknown ",COL,UNK,5,0,0,0,0,0,98
2023,Colombia,Ukraine,COL,UKR,8,24,0,0,0,0,0
2023,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,1134,23449,0,2851160,0,0,0
2022,Colombia,Afghanistan,COL,AFG,9,0,0,0,0,0,0
2022,Colombia,"Bolivia (Plurinational State of)",COL,BOL,5,0,0,0,0,0,0
2022,Colombia,China,COL,CHN,0,0,0,0,0,0,150
2022,Colombia,Colombia,COL,COL,0,0,6834492,0,0,1102358,516000
2022,Colombia,Cuba,COL,CUB,87,233,0,0,0,0,0
2022,Colombia,"Dominican Rep.",COL,DOM,0,5,0,0,0,0,0
2022,Colombia,Ecuador,COL,ECU,5,23,0,0,0,0,0
2022,Colombia,Eritrea,COL,ERI,5,0,0,0,0,0,0
2022,Colombia,Ethiopia,COL,ETH,7,0,0,0,0,0,0
2022,Colombia,Ghana,COL,GHA,5,0,0,0,0,0,0
2022,Colombia,Haiti,COL,HTI,0,7,0,0,0,0,1918
2022,Colombia,Honduras,COL,HND,5,0,0,0,0,0,0
2022,Colombia,Hungary,COL,HUN,5,0,0,0,0,0,0
2022,Colombia,India,COL,IND,0,0,0,0,0,0,240
2022,Colombia,Iraq,COL,IRQ,8,0,0,0,0,0,0
2022,Colombia,Liberia,COL,LBR,5,0,0,0,0,0,0
2022,Colombia,Nepal,COL,NPL,0,0,0,0,0,0,162
2022,Colombia,Nicaragua,COL,NIC,10,0,0,0,0,0,0
2022,Colombia,Peru,COL,PER,0,10,0,0,0,0,3299
2022,Colombia,"Russian Federation",COL,RUS,9,20,0,0,0,0,0
2022,Colombia,"El Salvador",COL,SLV,7,0,0,0,0,0,0
2022,Colombia,"Sierra Leone",COL,SLE,5,0,0,0,0,0,0
2022,Colombia,Somalia,COL,SOM,11,0,0,0,0,0,0
2022,Colombia,"Serbia and Kosovo: S/RES/1244 (1999)",COL,SRB,5,0,0,0,0,0,0
2022,Colombia,Stateless,COL,XXA,0,0,0,0,11,0,0
2022,Colombia,"Syrian Arab Rep.",COL,SYR,13,5,0,0,0,0,0
2022,Colombia,Türkiye,COL,TUR,7,0,0,0,0,0,0
2022,Colombia,"Unknown ",COL,UNK,5,6,0,0,0,0,754
2022,Colombia,Ukraine,COL,UKR,8,21,0,0,0,0,0
2022,Colombia,"Venezuela (Bolivarian Republic of)",COL,VEN,1381,22345,0,2453862,0,0,0
2019,"Costa Rica",Angola,CRI,AGO,0,51,0,0,0,0,0
2019,"Costa Rica",Argentina,CRI,ARG,0,17,0,0,0,0,0
2019,"Costa Rica",Burundi,CRI,BDI,5,0,0,0,0,0,0
2019,"Costa Rica",Bangladesh,CRI,BGD,0,16,0,0,0,0,0
2019,"Costa Rica","Burkina Faso",CRI,BFA,0,5,0,0,0,0,0
2019,"Costa Rica","Bolivia (Plurinational State of)",CRI,BOL,0,5,0,0,0,0,0
2019,"Costa Rica",Brazil,CRI,BRA,0,12,0,0,0,0,0
2019,"Costa Rica",China,CRI,CHN,0,152,0,0,0,0,0
2019,"Costa Rica",Chile,CRI,CHL,0,12,0,0,0,0,0
2019,"Costa Rica",Cameroon,CRI,CMR,0,21,0,0,0,0,0
2019,"Costa Rica",Congo,CRI,COG,0,57,0,0,0,0,0
2019,"Costa Rica","Dem. Rep. of the Congo",CRI,COD,12,41,0,0,0,0,0
2019,"Costa Rica",Colombia,CRI,COL,2325,1338,0,0,0,0,0
2019,"Costa Rica",Cuba,CRI,CUB,380,1933,0,0,0,0,0
2019,"Costa Rica","Dominican Rep.",CRI,DOM,0,64,0,0,0,0,0
2019,"Costa Rica",Ecuador,CRI,ECU,0,17,0,0,0,0,0
2019,"Costa Rica",Eritrea,CRI,ERI,0,7,0,0,0,0,0
2019,"Costa Rica",Ethiopia,CRI,ETH,5,0,0,0,0,0,0
2019,"Costa Rica",Gambia,CRI,GMB,0,5,0,0,0,0,0
2019,"Costa Rica",Germany,CRI,DEU,0,5,0,0,0,0,0
2019,"Costa Rica",Ghana,CRI,GHA,0,63,0,0,0,0,0
2019,"Costa Rica",Guatemala,CRI,GTM,24,35,0,0,0,0,35
2019,"Costa Rica",Haiti,CRI,HTI,12,111,0,0,0,0,0
2019,"Costa Rica",Honduras,CRI,HND,189,715,0,0,0,0,18
2019,"Costa Rica","Cote d'Ivoire",CRI,CIV,0,5,0,0,0,0,0
2019,"Costa Rica",Indonesia,CRI,IDN,5,0,0,0,0,0,0
2019,"Costa Rica","Iran (Islamic Rep. of)",CRI,IRN,5,0,0,0,0,0,0
2019,"Costa Rica",Iraq,CRI,IRQ,5,0,0,0,0,0,0
2019,"Costa Rica",Israel,CRI,ISR,0,5,0,0,0,0,0
2019,"Costa Rica",Italy,CRI,ITA,0,6,0,0,0,0,0
2019,"Costa Rica",Jamaica,CRI,JAM,0,8,0,0,0,0,0
2019,"Costa Rica",Mexico,CRI,MEX,8,23,0,0,0,0,0
2019,"Costa Rica",Nepal,CRI,NPL,0,105,0,0,0,0,0
2019,"Costa Rica",Niger,CRI,NER,0,5,0,0,0,0,0
2019,"Costa Rica",Nicaragua,CRI,NIC,1402,43481,0,0,0,0,0
2019,"Costa Rica",Nigeria,CRI,NGA,17,0,0,0,0,0,0
2019,"Costa Rica",Pakistan,CRI,PAK,5,11,0,0,0,0,0
2019,"Costa Rica",Panama,CRI,PAN,5,13,0,0,0,0,0
2019,"Costa Rica",Peru,CRI,PER,13,0,0,0,0,0,0
2019,"Costa Rica","Russian Federation",CRI,RUS,25,0,0,0,0,0,0
2019,"Costa Rica","El Salvador",CRI,SLV,1155,854,0,0,0,0,16
2019,"Costa Rica",Senegal,CRI,SEN,0,5,0,0,0,0,0
2019,"Costa Rica",Somalia,CRI,SOM,7,7,0,0,0,0,0
2019,"Costa Rica",Spain,CRI,ESP,0,10,0,0,0,0,0
2019,"Costa Rica",Stateless,CRI,XXA,0,0,0,0,231,0,0
2019,"Costa Rica","Syrian Arab Rep.",CRI,SYR,5,24,0,0,0,0,0
2019,"Costa Rica",Türkiye,CRI,TUR,0,5,0,0,0,0,0
2019,"Costa Rica","Unknown ",CRI,UNK,0,31060,0,0,0,0,0
2019,"Costa Rica",Ukraine,CRI,UKR,13,0,0,0,0,0,0
2019,"Costa Rica","United States of America",CRI,USA,5,31,0,0,0,0,0
2019,"Costa Rica","Venezuela (Bolivarian Republic of)",CRI,VEN,577,6809,0,20828,0,0,0
2019,"Costa Rica",Zimbabwe,CRI,ZWE,0,5,0,0,0,0,0
2020,"Costa Rica",Angola,CRI,AGO,0,52,0,0,0,0,0
2020,"Costa Rica",Argentina,CRI,ARG,0,8,0,0,0,0,0
2020,"Costa Rica",Burundi,CRI,BDI,9,0,0,0,0,0,0
2020,"Costa Rica",Bangladesh,CRI,BGD,0,16,0,0,0,0,0
2020,"Costa Rica","Burkina Faso",CRI,BFA,0,5,0,0,0,0,0
