Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2020,Uruguay,Colombia,URY,COL,162,51,0,0,0,0,0
2020,"United States of America",Colombia,USA,COL,2668,16868,0,0,0,0,0
2020,"Venezuela (Bolivarian Republic of)",Colombia,VEN,COL,67935,284,0,0,0,0,0
2021,Argentina,Colombia,ARG,COL,561,258,0,0,0,0,0
2021,Australia,Colombia,AUS,COL,87,312,0,0,0,0,0
2021,Austria,Colombia,AUT,COL,5,13,0,0,0,0,0
2021,Belgium,Colombia,BEL,COL,135,240,0,0,0,0,0
2021,"Bolivia (Plurinational State of)",Colombia,BOL,COL,200,21,0,0,0,0,0
2021,Brazil,Colombia,BRA,COL,1300,2027,0,0,0,0,0
2021,Canada,Colombia,CAN,COL,5835,3706,0,0,0,0,0
2021,Chile,Colombia,CHL,COL,1234,3289,0,0,0,0,0
2021,Colombia,Colombia,COL,COL,0,0,6766002,0,0,741889,500000
2021,"Costa Rica",Colombia,CRI,COL,2317,1535,0,0,0,0,0
2021,Czechia,Colombia,CZE,COL,0,5,0,0,0,0,0
2021,Denmark,Colombia,DNK,COL,5,12,0,0,0,0,0
2021,"Dominican Rep.",Colombia,DOM,COL,0,5,0,0,0,0,0
2021,Ecuador,Colombia,ECU,COL,54491,2719,0,0,0,0,0
2021,Finland,Colombia,FIN,COL,0,11,0,0,0,0,0
2021,France,Colombia,FRA,COL,1036,634,0,0,0,0,0
2021,"United Kingdom of Great Britain and Northern Ireland",Colombia,GBR,COL,15,58,0,0,0,0,0
2021,Germany,Colombia,DEU,COL,79,880,0,0,0,0,0
2021,Greece,Colombia,GRC,COL,0,5,0,0,0,0,0
2021,Guatemala,Colombia,GTM,COL,10,16,0,0,0,0,0
2021,Iceland,Colombia,ISL,COL,0,11,0,0,0,0,0
2021,Ireland,Colombia,IRL,COL,0,5,0,0,0,0,0
2021,Israel,Colombia,ISR,COL,0,189,0,0,0,0,0
2021,Italy,Colombia,ITA,COL,950,374,0,0,0,0,0
2021,"Rep. of Korea",Colombia,KOR,COL,0,5,0,0,0,0,0
2021,Luxembourg,Colombia,LUX,COL,0,20,0,0,0,0,0
2021,Mexico,Colombia,MEX,COL,530,1765,0,0,0,0,4338
2021,Malta,Colombia,MLT,COL,0,26,0,0,0,0,0
2021,"Netherlands (Kingdom of the)",Colombia,NLD,COL,118,162,0,0,0,0,0
2021,Nicaragua,Colombia,NIC,COL,6,0,0,0,0,0,0
2021,Norway,Colombia,NOR,COL,8,40,0,0,0,0,0
2021,"New Zealand",Colombia,NZL,COL,32,9,0,0,0,0,0
2021,Panama,Colombia,PAN,COL,1683,1062,0,0,0,0,0
2021,Paraguay,Colombia,PRY,COL,17,214,0,0,0,0,0
2021,Peru,Colombia,PER,COL,712,1666,0,0,0,0,0
2021,Portugal,Colombia,PRT,COL,24,21,0,0,0,0,0
2021,"El Salvador",Colombia,SLV,COL,18,7,0,0,0,0,0
2021,Spain,Colombia,ESP,COL,2158,20320,0,0,0,0,0
2021,Suriname,Colombia,SUR,COL,0,6,0,0,0,0,0
2021,Sweden,Colombia,SWE,COL,40,126,0,0,0,0,0
2021,Switzerland,Colombia,CHE,COL,288,98,0,0,0,0,0
2021,"Trinidad and Tobago",Colombia,TTO,COL,11,64,0,0,0,0,0
2021,Uruguay,Colombia,URY,COL,162,85,0,0,0,0,0
2021,"United States of America",Colombia,USA,COL,2557,38168,0,0,0,0,0
2021,"Venezuela (Bolivarian Republic of)",Colombia,VEN,COL,39168,516,0,0,0,0,0
2024,Aruba,Colombia,ABW,COL,0,0,0,0,0,0,522
2024,Argentina,Colombia,ARG,COL,568,130,0,0,0,0,0
2024,Australia,Colombia,AUS,COL,43,1115,0,0,0,0,0
2024,Austria,Colombia,AUT,COL,9,46,0,0,0,0,0
2024,Belgium,Colombia,BEL,COL,229,1008,0,0,0,0,0
2024,"Bolivia (Plurinational State of)",Colombia,BOL,COL,200,0,0,0,0,0,2184
2024,Brazil,Colombia,BRA,COL,391,1297,0,0,0,0,0
2024,Canada,Colombia,CAN,COL,11249,10598,0,0,0,0,0
2024,Chile,Colombia,CHL,COL,1235,3224,0,0,0,0,0
