iso3,flow_id,source_org,source_country,dest_org,dest_country,description,sector,amount_usd,funding_status,boundary,dest_usage_year,flow_date
SLV,310368,United States Department of State,United States,United Nations High Commissioner for Refugees,El Salvador,El Salvador	El Salvador Plan de Respuesta Humanitario 2024	-,Protection - Child Protection,191700,commitment,incoming,2024,2024-03-21
SLV,311390,"Switzerland, Government of",Switzerland,National NGOs (Confidential),Guatemala,Project/Programme contribution,Coordination and support services,78749,commitment,incoming,2024,2024-01-12
SLV,313089,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"El Salvador HRP 2024
Emergency Shelter and NFI
Strengthening temporary and permanent and permanent housing solutions in El Salvador	
---- USAID/BHA",Emergency Shelter and NFI,40000,paid,incoming,2024,2024-03-01
SLV,313090,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"El Salvador HRP 2024
Protection	
Promotion of the rights and protection of persons affected by displacement and displacement and human mobility
---- USAID/BHA",Protection,836571,paid,incoming,2024,2024-03-01
SLV,313091,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"El Salvador HRP 2024
Protection - Child Protection	Building Protective and Friendly Spaces for and Friendly Spaces for Children and Adolescents who are at risk due to violence
---- USAID/BHA",Protection - Child Protection,36937,paid,incoming,2024,2024-03-01
SLV,313092,"United States of America, Government of",United States,Norwegian Refugee Council,El Salvador,"El Salvador HRP 2024
Food Security
Provision of multi-sectoral humanitarian assistance to populations affected by, or at risk of, violence and displacement in El Salvador, Guatemala and Honduras.
---- USAID/BHA",Food Security,834164,paid,incoming,2024,2024-03-01
SLV,313827,"United States of America, Government of",United States,World Vision El Salvador,El Salvador,"El Salvador	World Vision, Inc. (USA)",Food Security,1136268,commitment,incoming,2024,2024-06-17
SLV,313832,"United States of America, Government of",United States,CARITAS,El Salvador,El Salvador	Fundacion Caritas de El Salvador,Other,295634,commitment,incoming,2024,2024-06-17
SLV,314372,European Commission's Humanitarian Aid and Civil Protection Department,,Norwegian Refugee Council,El Salvador,"Promotion of the rights and protection of persons affected by displacement and displacement and human mobility
Increasing safety, mitigating risk, and meeting humanitarian needs for the vulnerable populations affected by other
situations of violence, forced displacement, and food insecurity in the N",Education,161052,commitment,incoming,2024,2022-12-13
SLV,314374,European Commission's Humanitarian Aid and Civil Protection Department,,Norwegian Refugee Council,El Salvador,"Promotion of the rights and protection of persons affected by displacement and displacement and human mobility
Increasing safety, mitigating risk, and meeting humanitarian needs for the vulnerable populations affected by other
situations of violence, forced displacement, and food insecurity in the N",Protection,68000,commitment,incoming,2024,2022-12-13
SLV,314532,United States Department of State,United States,United Nations Children's Fund,El Salvador,HAC-CAMEX	USA (State) BPRM	El Salvador		El Salvador: Humanitarian Action for Children,Protection - Child Protection,480658,commitment,incoming,2024,2024-06-12
SLV,316382,"Canada, Government of",Canada,World Food Programme,El Salvador,Multisectoral humanitarian crisis response in El Salvador,Food Security,365497,commitment,incoming,2024,2024-06-28
SLV,316401,"Canada, Government of",Canada,United Nations High Commissioner for Refugees,El Salvador,El Salvador	El Salvador Plan de Respuesta Humanitario 2024	-,Protection,365497,paid,incoming,2024,2024-06-28
SLV,316481,"United States of America, Government of",United States,World Vision El Salvador,El Salvador,"Central America Regional/ER4
Regional
Disaster Risk Reduction Policy and Practice (DRRPP), Shelter and Settlements
--- USAID / BHA",Water Sanitation Hygiene,1114000,commitment,incoming,2024,2024-03-01
SLV,318049,"Germany, Government of",Germany,German Federal Foreign Office Auswärtiges Amt,El Salvador,Emergency aid due to dengue emergency in El Salvador,Health,74049,commitment,incoming,2024,2024-07-25
